,Freq,review,pos_tag,neg,neu,pos,compound
485,78,r   e   s   e   a   r   c   h,"('r   e   s   e   a   r   c   h', 'NN')",0.0,0.0,0.0,0.0
2579,77,p   e   r   f   e   c   t   e   d,"('p   e   r   f   e   c   t   e   d', 'NN')",0.0,0.0,0.0,0.0
247,77,s   t   i   l   l,"('s   t   i   l   l', 'NN')",0.0,0.0,0.0,0.0
759,77,b   i   t,"('b   i   t', 'NN')",0.0,0.0,0.0,0.0
165,77,j   o   b,"('j   o   b', 'NN')",0.0,0.0,0.0,0.0
2729,76,p   l   a   n,"('p   l   a   n', 'NN')",0.0,0.0,0.0,0.0
1914,75,c   o   m   p   e   t   e   n   c  ,"('c   o   m   p   e   t   e   n   c  ', 'NN')",0.0,0.0,0.0,0.0
411,75,m   e   m   b   e   r,"('m   e   m   b   e   r', 'NN')",0.0,0.0,0.0,0.0
188,74,c   o   m   p   u   t   e   r,"('c   o   m   p   u   t   e   r', 'NN')",0.0,0.0,0.0,0.0
626,74,w   i   n   d   o   w,"('w   i   n   d   o   w', 'NN')",0.0,0.0,0.0,0.0
139,74,m   a   d  ,"('m   a   d  ', 'NN')",0.0,0.0,0.0,0.0
1109,73,d   e   l   i   v   e   r   i,"('d   e   l   i   v   e   r   i', 'NN')",0.0,0.0,0.0,0.0
1688,72,p   l   e   a   s  ,"('p   l   e   a   s  ', 'NN')",0.0,0.0,0.0,0.0
574,72,c   o   n   f   i   g   u   r   i   n   g,"('c   o   n   f   i   g   u   r   i   n   g', 'NN')",0.0,0.0,0.0,0.0
421,72,h   e   l   p,"('h   e   l   p', 'NN')",0.0,0.0,0.0,0.0
120,71,n   e   e   d   e   d,"('n   e   e   d   e   d', 'JJ')",0.0,0.0,0.0,0.0
2989,70,p   e   r   f   e   c   t,"('p   e   r   f   e   c   t', 'NN')",0.0,0.0,0.0,0.0
341,70,p   r   e   s   e   n   t   e   d,"('p   r   e   s   e   n   t   e   d', 'NN')",0.0,0.0,0.0,0.0
1308,70,2,"('2', 'CD')",0.0,0.0,0.0,0.0
363,70,p   r   o   g   r   a   m   m   i   n   g,"('p   r   o   g   r   a   m   m   i   n   g', 'NN')",0.0,0.0,0.0,0.0
1467,70,o   p   e   r   a   t   i   n   g,"('o   p   e   r   a   t   i   n   g', 'NN')",0.0,0.0,0.0,0.0
614,69,r   e   s   o   u   r   c  ,"('r   e   s   o   u   r   c  ', 'NN')",0.0,0.0,0.0,0.0
224,69,o   n  ,"('o   n  ', 'NN')",0.0,0.0,0.0,0.0
358,68,i   m   p   r   o   v  ,"('i   m   p   r   o   v  ', 'NN')",0.0,0.0,0.0,0.0
460,68,p   a   g  ,"('p   a   g  ', 'NN')",0.0,0.0,0.0,0.0
1018,67,a   t   t   e   n   d   e   d,"('a   t   t   e   n   d   e   d', 'NN')",0.0,0.0,0.0,0.0
198,67,i   s   s   u  ,"('i   s   s   u  ', 'NN')",0.0,0.0,0.0,0.0
1649,67,o   n   l   i   n  ,"('o   n   l   i   n  ', 'NN')",0.0,0.0,0.0,0.0
765,66,a   s   s   i   g   n   m   e   n   t,"('a   s   s   i   g   n   m   e   n   t', 'NN')",0.0,0.0,0.0,0.0
915,65,f   a   r,"('f   a   r', 'NN')",0.0,0.0,0.0,0.0
742,64,b   u   s   i   n   e   s  ,"('b   u   s   i   n   e   s  ', 'NN')",0.0,0.0,0.0,0.0
1578,63,t   r   a   n   s   p   o   r   t,"('t   r   a   n   s   p   o   r   t', 'NN')",0.0,0.0,0.0,0.0
925,63,e   a   r   l   i,"('e   a   r   l   i', 'NN')",0.0,0.0,0.0,0.0
1541,62,p   r   o   g   r   e   s   s   i   v  ,"('p   r   o   g   r   e   s   s   i   v  ', 'NN')",0.0,0.0,0.0,0.0
500,62,m   y   s   q   l,"('m   y   s   q   l', 'NN')",0.0,0.0,0.0,0.0
675,61,u   s   e   r,"('u   s   e   r', 'JJ')",0.0,0.0,0.0,0.0
149,61,i   n   s   t   a   l   l,"('i   n   s   t   a   l   l', 'NN')",0.0,0.0,0.0,0.0
366,61,r   e   a   l,"('r   e   a   l', 'NN')",0.0,0.0,0.0,0.0
872,61,p   o   s   i   t   i   v  ,"('p   o   s   i   t   i   v  ', 'NN')",0.0,0.0,0.0,0.0
3238,61,p   c,"('p   c', 'NN')",0.0,0.0,0.0,0.0
311,60,c   r   e   a   t  ,"('c   r   e   a   t  ', 'NN')",0.0,0.0,0.0,0.0
1968,60,p   c,"('p   c', 'NN')",0.0,0.0,0.0,0.0
1450,60,h   o   s   t   i   n   g,"('h   o   s   t   i   n   g', 'NN')",0.0,0.0,0.0,0.0
786,59,e   x   c   e   l   l   e   n   t,"('e   x   c   e   l   l   e   n   t', 'NN')",0.0,0.0,0.0,0.0
343,59,m   o   d   e   l,"('m   o   d   e   l', 'NN')",0.0,0.0,0.0,0.0
15,59,p   r   o   m   i   s   i   n   g,"('p   r   o   m   i   s   i   n   g', 'NN')",0.0,0.0,0.0,0.0
1268,59,i   n   t   r   o   d   u   c   e   d,"('i   n   t   r   o   d   u   c   e   d', 'NN')",0.0,0.0,0.0,0.0
105,59,p   r   o   b   l   e   m,"('p   r   o   b   l   e   m', 'NN')",0.0,0.0,0.0,0.0
1735,59,t   r   a   i   n   e   r,"('t   r   a   i   n   e   r', 'NN')",0.0,0.0,0.0,0.0
348,58,p   a   r   t,"('p   a   r   t', 'NN')",0.0,0.0,0.0,0.0
482,58,h   o   w   e   v   e   r,"('h   o   w   e   v   e   r', 'NN')",0.0,0.0,0.0,0.0
1012,58,e   r   r   o   r,"('e   r   r   o   r', 'NN')",0.0,0.0,0.0,0.0
809,57,d   e   v   i   c  ,"('d   e   v   i   c  ', 'NN')",0.0,0.0,0.0,0.0
2730,57,m   o   v   e   m   e   n   t,"('m   o   v   e   m   e   n   t', 'NN')",0.0,0.0,0.0,0.0
176,56,l   e   a   r   n   t,"('l   e   a   r   n   t', 'NN')",0.0,0.0,0.0,0.0
320,56,n   e   e   d,"('n   e   e   d', 'JJ')",0.0,0.0,0.0,0.0
1721,56,e   n   v   i   r   o   m   e   n   t,"('e   n   v   i   r   o   m   e   n   t', 'NN')",0.0,0.0,0.0,0.0
1212,56,s   e   s   s   i   o   n,"('s   e   s   s   i   o   n', 'NN')",0.0,0.0,0.0,0.0
518,56,t   o   w   a   r   d  ,"('t   o   w   a   r   d  ', 'NN')",0.0,0.0,0.0,0.0
976,55,p   e   r   f   o   r   m   a   n   c  ,"('p   e   r   f   o   r   m   a   n   c  ', 'NN')",0.0,0.0,0.0,0.0
414,55,a   t   t   e   n   t   i   o   n,"('a   t   t   e   n   t   i   o   n', 'NN')",0.0,0.0,0.0,0.0
1581,55,s   u   p   p   o   r   t,"('s   u   p   p   o   r   t', 'NN')",0.0,0.0,0.0,0.0
327,55,w   i   l   l   i   n   g,"('w   i   l   l   i   n   g', 'NN')",0.0,0.0,0.0,0.0
375,55,u   n   d   e   r   s   t   a   n   d,"('u   n   d   e   r   s   t   a   n   d', 'JJ')",0.0,0.0,0.0,0.0
